schema,object_name,owner,certified,tags
bronze_database_file,bronze_eres_flight,Data_Pipeline_User,No,#BRONZE_DATABASE_FILE
silver_database_file,Ailab_curated_flight,Data_Pipeline_User,No,#SILVER_DATABASE_FILE
silver_database_file,silver_eres_airportcode,Data_Pipeline_User,No,#SILVER_DATABASE_FILE
silver_database_file,Silver_eres_flight,Data_Pipeline_User,No,#SILVER_DATABASE_FILE
silver_database_file,silver_eres_seasoncode,Data_Pipeline_User,No,#SILVER_DATABASE_FILE
gold_database_file,AILab_Consumption_Customer_traveller,Data_Pipeline_User,No,#GOLD_DATABASE_FILE
gold_database_file,Gold_dimension_flightdata,Data_Pipeline_User,No,#GOLD_DATABASE_FILE
